State,Channel,Policy Type,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
Alabama,Direct,New Policy,"$14,448 ","$14,166 ","$14,829 ","$14,367 ","$12,800 ","$12,670 ","$12,363 ","$12,203 "
Alaska,Direct,New Policy,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Arizona,Direct,New Policy,"$55,107 ","$53,545 ","$55,553 ","$53,351 ","$47,124 ","$46,444 ","$44,946 ","$43,999 "
Arkansas,Direct,New Policy,"$10,855 ","$12,078 ","$13,983 ","$14,777 ","$16,125 ","$16,743 ","$20,453 ","$21,367 "
California,Direct,New Policy,"$611,067 ","$591,355 ","$611,067 ","$584,499 ","$549,703 ","$539,625 ","$522,218 ","$511,224 "
Colorado,Direct,New Policy,"$224,777 ","$223,561 ","$237,249 ","$232,899 ","$210,144 ","$211,443 ","$208,611 ","$208,123 "
Connecticut,Direct,New Policy,"$84,254 ","$87,231 ","$96,024 ","$97,477 ","$90,709 ","$93,907 ","$95,583 ","$98,176 "
Delaware,Direct,New Policy,$0 ,$0 ,$0 ,$0 ,"$1,021 ","$2,441 ","$3,051 ","$3,639 "
District of Columbia,Direct,New Policy,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Florida,Direct,New Policy,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Georgia,Direct,New Policy,"$333,062 ","$336,760 ","$362,909 ","$357,327 ","$323,334 ","$326,212 ","$324,211 ","$325,728 "
Hawaii,Direct,New Policy,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Idaho,Direct,New Policy,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$676 ,"$1,612 "
Illinois,Direct,New Policy,"$169,295 ","$166,851 ","$174,751 ","$169,389 ","$150,990 ","$150,154 ","$147,179 ","$145,910 "
Indiana,Direct,New Policy,"$55,395 ","$54,653 ","$57,554 ","$56,085 ","$50,250 ","$49,998 ","$49,032 ","$48,634 "
Iowa,Direct,New Policy,$0 ,"$2,250 ","$5,661 ","$6,995 ","$7,497 ","$7,959 ","$8,856 ","$9,713 "
Kansas,Direct,New Policy,"$8,769 ","$9,255 ","$10,232 ","$10,426 ","$9,735 ","$10,108 ","$10,316 ","$10,621 "
